property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,BHK,Location,Other,servant,Store,Pooja,luxury_score,Furnished,carpet12,Build,Super_area
flat,signature global city 63a,2,12800,3,3,2,1,under construction,3,Sector 63A,0,0,0,0,36,1,1368.799186,1539.991173,1711.802898
flat,godrej oasis,1.29,7800,3,3,3,5,new,3,Sector 88A,1,0,0,0,65,1,1628.039875,1831.654388,1629.008626
flat,m3m skycity,2.85,15590,3,3,3,43,under construction,3,Sector 65,0,0,0,0,115,1,1461.739709,1644.555514,1828.033137
flat,supertech araville,1.1,5641,3,3,3,1,moderate,3,Sector 79,0,0,0,0,106,0,1949.988124,2193.867828,2438.630411
flat,smart world orchard,1.65,13750,2,2,2,1,new,2,Sector 61,0,0,0,0,16,1,1199.959572,1350.035248,1500.654218
flat,hcbs sports ville,0.24,7407,1,1,2,1,new,1,Sohna,0,0,0,0,68,1,323.99339,364.5143609,405.1820234
flat,emaar palm premier,2.1,10500,3,4,3+,11,new,3,Sector 77,0,1,0,0,129,0,1499.949465,1599.946096,2000.040259
flat,godrej nature plus,1.9,9849,3,3,3+,14,new,3,Sector-33 Sohna,0,1,0,0,96,1,1928.998519,2170.25311,2412.381077
flat,ramsons kshitij,0.32,4500,2,2,1,8,moderate,2,Sector 95,1,0,0,0,28,2,443.365041,498.8154992,699.976417
flat,conscient one,1.7,17617,1,1,2,9,unknown,1,Sector 109,0,0,0,0,0,1,627.965926,964.983635,1072.64367
flat,pareena laxmi apartments,0.32,6106,2,2,2,2,new,2,Sector 99A,0,0,0,0,50,1,424.851133,477.9861072,523.986652
flat,pyramid elite,0.45,7739,2,2,1,4,new,2,Sector 86,0,0,0,0,66,1,581.358239,654.0671307,727.0392386
flat,raheja revanta,1.2,10018,1,2,2,32,under construction,1,Sector 78,0,0,0,0,39,1,505.042188,568.206439,1197.806792
flat,m3m skycity,2.1,16030,2,2,2,43,new,2,Sector 65,0,0,0,0,127,1,1047.481144,1178.486758,1309.96663
flat,signature the roselia,0.45,7,2,2,2,2,new,2,Sector 95A,0,0,0,0,76,1,569242.5008,640436.1101,711887.4501
flat,not applicable,0.42,5600,2,2,1,3,moderate,2,Laxman Vihar,0,0,0,0,26,0,750.028552,843.8325804,937.9761923
flat,godrej nature plus,1.55,9955,3,2,3+,8,new,3,Sector-33 Sohna,0,0,0,0,43,1,1556.998135,1751.727651,1947.162116
flat,ramprastha city,1.3,9027,3,3,2,3,new,3,Dwarka Expressway,0,0,0,0,0,1,1151.454621,1295.463915,1439.994542
flat,smartworld 1dxp,2.75,10589,4,4,3+,20,under construction,4,Sector 113,0,1,0,1,57,2,2597.006153,2921.80664,3247.78295
flat,ansal housing highland park,1.25,6443,3,3,3+,2,new,3,Sector 103,0,0,0,1,105,1,1056.046229,1188.123055,1939.977697
flat,czar mahira homes 63a,0.42,7407,3,2,2,1,unknown,3,Sector 63A,0,0,0,0,0,1,567.042252,637.9606822,709.1358469
flat,breez global heights,0.4,6420,2,2,1,4,new,2,Sohna,0,0,0,0,49,1,599.011035,673.9277138,623.014532
flat,trisara our homes 3,0.34,5405,2,2,1,0,new,2,Sohna,0,0,0,0,0,1,629.042316,707.7149254,786.6723404
flat,m3m soulitude,1.25,8784,3,3,3,3,new,3,Sector 89,1,0,0,0,0,1,1137.855441,1280.163922,1422.98758
flat,emaar mgf palm hills,1.5,12744,3,3,3,4,moderate,3,Sector 77,0,0,0,0,97,0,1177.032465,1324.24071,1450.004969
flat,ramprastha city,1.3,9285,3,3,2,3,new,3,Dwarka Expressway,0,0,0,0,0,1,1119.436299,1259.441148,1399.952834
flat,pareena coban residences,1.6,8000,3,3,3,6,new,3,Sector 99A,0,0,0,0,0,1,1599.280783,1799.298475,2000.040259
flat,la vida by tata housing,1.5,11755,2,2,2,13,new,2,Sector 113,0,0,0,0,0,1,1275.952706,1435.532636,1595.690268
flat,la vida by tata housing,1.5,11755,2,2,2,13,new,2,Sector 113,0,0,0,0,60,1,1020.282784,1147.886773,1275.952706
flat,godrej summit premia towers,0.9,7149,2,2,0,16,unknown,2,Sector 104,0,0,0,0,0,1,1118.995966,1258.945744,1399.40216
flat,ardee city,1.5,9146,4,4,3,3,very old,4,Sector 52,0,0,0,0,65,1,1311.374092,1475.384079,1639.987804
flat,m3m one key resiments,0.8,13115,1,1,0,0,unknown,1,Sector 67,0,0,0,0,0,1,542.1810994,609.990213,678.0448049
flat,ansal heights 86,1.25,7396,3,2,1,11,new,3,Sector 86,0,0,0,0,45,1,1351.396996,1520.412537,1690.039939
flat,mvn athens,0.26,5397,2,2,1,2,moderate,2,Sohna,0,0,0,0,37,1,481.792164,542.0485979,602.5231683
flat,signature the serenas,0.42,7909,2,2,1,12,new,2,Sohna,0,0,0,0,54,0,530.983187,597.3918081,664.0408377
flat,sushant lok 1 builder floors,2.5,12920,3,3,2,2,new,3,Sushant Lok Phase 1,0,0,0,0,0,1,1547.294044,1740.809897,1935.026303
flat,umang monsoon breeze,0.9,4615,3,3,2,1,old,3,Sector 78,0,1,0,1,65,1,1853.974136,1900.043628,1949.988124
flat,gls avenue 51,0.42,7106,2,2,1,4,moderate,2,Sector 92,0,0,0,1,42,0,591.045749,664.9662312,739.1543158
flat,signature global solera,0.5,7692,2,2,1,11,moderate,2,Sector 107,0,0,0,0,0,1,436.6369632,491.245959,546.052647
flat,supertech araville,0.9,5883,2,2,3,5,moderate,2,Sector 79,0,0,0,0,53,1,1399.952834,1450.004969,1529.980746
flat,greenopolis,1.3,6806,3,3,3+,1,new,3,Sector 89,0,1,0,0,35,1,1909.946416,2148.818213,2388.554758
flat,central park flower valley aqua front towers,1.7,9502,3,3,3,12,under construction,3,Sector-33 Sohna,0,0,0,0,24,1,1430.496024,1609.404266,1788.96018
flat,sare homes,1.25,6200,4,3,0,16,under construction,4,Sector 92,0,0,0,0,49,1,1813.202082,2039.974328,2267.567521
flat,vatika sovereign next sector-82 a gurgaon,2.91,6700,4,4,3,6,under construction,4,Sector 82A,0,1,1,0,79,0,3479.96887,3915.199099,4350.014907
flat,bhagwati sadan,1.15,5750,3,4,2,2,very old,3,Sector 12A,1,1,0,0,28,0,1749.994862,2000.040259,2500.023414
flat,smart world gems,1.2,12526,3,3,3,3,new,3,Sector 89,0,0,1,1,131,1,957.9871,1077.799938,1198.046514
flat,micasa sec 68,1.5,12244,2,2,3,11,new,2,Sohna Road,0,0,0,0,44,1,1225.039459,1378.251808,1532.018807
flat,eldeco accolade,1.3,7424,3,3,3+,10,moderate,3,Sohna,0,0,0,0,49,1,1289.945776,1451.275781,1750.963613
flat,hero homes,1.75,10361,3,3,3,2,under construction,3,Sector 104,0,0,0,0,30,1,1350.536288,1519.444184,1688.963549
flat,shyam sadan,0.55,6470,2,2,1,4,moderate,2,Ashok Vihar Phase 2,0,0,0,0,69,0,699.976417,787.5205612,875.3816273
flat,m3m heights,2.5,13600,3,3,3,19,under construction,3,Sector 65,0,0,0,0,0,1,1461.739709,1644.555514,1828.033137
flat,hanumanta apartment,0.43,5308,2,2,1,1,old,2,Rajiv Colony,0,0,0,0,7,1,647.6824656,728.6863477,809.983475
flat,supertech hilltown,0.8,5556,3,2,3,8,unknown,3,Sector 2,0,0,0,0,0,1,1080.049726,1439.994542,1600.649974
flat,ashiyara 2,0.45,4500,3,3,2,18,under construction,3,Garauli Kalan,0,0,0,0,0,1,799.5973562,899.6008199,999.96631
flat,raheja vedaanta,0.7,4666,2,2,1,10,old,2,Sector 108,0,0,0,0,0,1,1150.015076,1467.980682,1631.758435
flat,bptp terra,1.95,14444,4,3,3,7,new,4,Sector 37D,0,0,0,0,0,1,1350.008338,1649.998231,2190.991845
flat,green court,0.45,7188,2,2,1,2,new,2,Sector 90,0,0,0,0,42,0,626.028424,704.3240941,782.9032053
flat,m3m golf hills phase 1,1.7,10828,3,2,3,10,unknown,3,Sector 79,0,0,0,0,0,1,1098.99419,1570.022454,1745.18467
flat,abhinav group housing society,1.1,6111,3,2,3,5,very old,3,Bhawani Enclave,0,0,0,0,42,1,1800.046997,2025.173973,2251.115939
flat,pyramid urban homes 2,0.5,9615,2,2,1,10,moderate,2,Sector 86,0,0,0,0,15,1,520.004009,585.0394942,650.3104169
flat,m3m heights,2.8,15000,3,3,3,20,under construction,3,Sector 65,0,0,0,0,91,1,1461.739709,1644.555514,1828.033137
flat,godrej nature plus,1.45,15664,3,2,3+,20,under construction,3,Sector-33 Sohna,0,0,0,0,144,1,1270.1402,1428.993176,1588.421221
flat,smart world orchard,2.2,13496,3,3,2,3,new,3,Sector 61,0,0,0,0,16,1,1629.977377,1833.834209,2038.42903
flat,ashiana anmol,0.9,9463,2,2,2,13,moderate,2,Sohna,0,0,0,0,120,2,950.990565,1069.928365,1274.983955
flat,signature signum 95a,0.4,7782,2,2,2,3,new,2,Sector 95A,0,0,0,0,44,0,513.976225,578.2578317,642.7721467
flat,umang winter hills,1.35,7780,3,3,3+,7,new,3,Sector 77,0,0,1,0,96,0,1198.990821,1348.945338,1735.033041
flat,aardhya homesh,1.85,8043,4,4,0,4,unknown,4,Sector 67A,0,0,0,0,0,1,2300.030152,2587.688659,2876.38853
flat,rof ananda,0.25,6578,1,1,1,4,new,1,Sector 95,0,0,0,0,0,1,303.8297812,341.8289445,379.96567
flat,smart world gems,0.88,7963,2,2,3,2,new,2,Sector 89,0,0,0,0,44,1,1105.021974,1243.224063,1381.926462
flat,assotech blith,1.15,6593,2,2,2,2,new,2,Sector 99,1,0,0,0,72,0,1091.463302,1227.969644,1364.970159
flat,essel tower,1.6,12185,3,3,3,4,old,3,IFFCO Chowk,0,0,0,0,46,1,1049.891125,1181.198149,1312.980522
flat,raheja vanya,0.85,6789,2,2,2,3,new,2,Sector 99A,0,0,0,0,43,1,1001.089004,1126.29248,1251.949209
flat,vatika inxt floors,0.75,7500,2,2,2,1,unknown,2,Sector 82A,0,0,0,0,0,1,650.031921,999.96631,1111.529246
flat,palam vihar society,3.35,7444,4,4,3+,2,new,4,Palam Vihar,0,0,0,0,66,1,4499.956034,5062.75328,5627.58793
flat,godrej oasis,1.5,8108,3,3,3+,11,new,3,Sector 88A,0,0,0,0,39,1,1479.298144,1664.309935,1849.991493
flat,dlf new town heights,1.65,6345,4,4,3+,11,old,4,Sector 91,0,1,0,0,72,1,1890.286021,2126.698946,2363.967718
flat,dlf new town heights,2,6967,4,4,3+,16,old,4,Sector 91,0,1,0,1,65,1,2180.602693,2453.324733,2727.034065
flat,sonata group housing society sector 1 manesar,1.75,6250,4,4,3,8,new,4,near sector 1 market,0,1,0,0,29,1,2800.013307,3150.203346,3501.661121
flat,supertech hues,0.9,7627,2,2,2,1,new,2,Sector 68,0,0,0,0,44,1,1180.046357,1327.631541,1475.751004
flat,krrish florence estate,1.25,6703,3,3,3,18,under construction,3,Sector 70,0,0,0,0,51,1,1491.26198,1677.770054,1864.953314
flat,piedmont taksila heights,1,6506,3,3,3+,8,moderate,3,Sector 37C,0,0,0,0,49,0,1536.977281,1729.202844,1922.12429
flat,experion heartsong,1.08,6150,3,3,0,,under construction,3,Dwarka Expressway,0,0,0,0,0,1,1562.537801,1757.960148,1954.089951
flat,ss the leaf,2.15,8928,3,5,3,2,new,3,Sector 85,0,0,0,0,0,1,1925.488962,2166.304622,2407.992069
flat,m3m urbana,1,12106,1,1,1,17,moderate,1,Sector 67,0,0,0,0,49,1,734.1975926,826.021686,918.1781953
flat,aipl zen residences,1.65,13074,2,2,3,23,new,2,Sector 70A,0,0,0,0,81,1,1009.093585,1135.298171,1261.959636
flat,dlf regal gardens,1.79,8081,4,3,3+,10,old,4,Sector 90,0,0,0,0,63,1,2214.995342,2492.018777,2770.045075
flat,suncity vatsal valley,1.45,10139,3,3,3,4,under construction,3,Gwal Pahari,0,0,0,0,49,1,760.038979,1429.984115,1589.522716
flat,shree shyam residency,0.22,4731,1,1,1,2,moderate,1,Block A Surya Vihar,0,0,0,0,0,1,465.00048,523.1568237,585.017965
flat,project krishna colony,0.36,5142,2,2,1,0,moderate,2,Sector 7,0,0,0,0,0,1,622.1640532,699.976417,778.0704723
flat,mvn athens,0.25,4258,2,2,1,0,moderate,2,Sohna,0,0,0,0,38,1,521.706994,586.955467,652.4401484
flat,m3m antalya hills,1.15,7496,3,3,3+,1,under construction,3,Sector 79,0,0,0,0,0,1,1102.976833,1199.959572,1533.963389
flat,central park flower valley,1.65,17441,3,3,0,1,unknown,3,Sohna Road,0,0,0,0,0,1,946.039171,1064.357714,1183.104586
flat,m3m capital,2.9,12619,4,4,3+,11,under construction,4,Sector 113,0,1,0,0,49,1,2297.985011,2585.387738,2873.830903
flat,ansal heights,0.6,4546,2,2,3,11,under construction,2,Sector 92,1,0,0,0,23,1,1055.485724,1187.492449,1319.977057
flat,malibu towne,2.4,10000,3,3,0,0,old,3,Malibu Town,0,0,0,0,22,0,2400.026783,2700.191597,3001.443048
flat,aipl zen residences,1.25,9904,2,2,3,19,unknown,2,Sector 70A,0,0,0,0,0,1,1261.959636,1419.789491,1578.190712
flat,m3m heights,2.15,15003,2,2,3+,28,unknown,2,Sector 65,0,0,0,0,0,1,1273.699837,1432.998007,1592.872858
flat,hcbs sports ville,0.29,3970,2,2,1,4,unknown,2,Sohna,0,0,0,0,0,1,519.035258,743.032017,825.9296433
flat,hcbs sports ville,0.38,5067,2,2,2,9,unknown,2,Sohna,0,0,0,0,0,1,650.031921,750.028552,833.7067585
flat,jmd empire,1.5,12500,2,2,3,7,unknown,2,Golf Course Road,0,0,0,0,0,1,1099.962941,1199.959572,1333.835095
flat,housing apna enclave,0.39,4105,2,2,1,1,unknown,2,Sector 4,0,0,0,0,0,1,750.028552,950.021814,1056.012608
flat,assotech blith,1.6,6667,3,4,0,15,unknown,3,Sector 99,0,0,0,0,0,1,2133.22957,2400.026783,2667.789839
flat,pareena mi casa,1.7,8504,4,4,3,2,new,4,Sector 68,0,0,0,0,0,1,1598.420075,1798.330121,1998.963869
flat,suncity heights,3.25,14118,3,3,3+,0,very old,3,Sector 54,0,0,0,1,120,0,2301.967654,2589.868479,2878.811546
