BHK,House,Location,Bedroom,Bathroom,balcony,Furnish_Details,other,Study,pooja,store,servant,Floor,price,rate,society,AgeofProperty,Feature,plot,Build,carpet
10,House,Rajiv Nagar,10,7,3,0,0,0,0,0,0,4,1.5,11538,,old,0,1302.4319,1002.872563,947.2232
9,House,Rattan Garden,9,3,3,0,0,0,0,0,0,3,1.1,8730,Rattan Garden,very old,7,1259.3763,969.719751,915.9100364
5,House,Mianwali Colony,5,5,1,0,0,0,0,0,0,3,1.35,12222,,very old,31,1345.4875,1036.025375,978.5363636
6,House,Sadar Bazar,6,4,2,1,1,1,0,0,0,3,1.3,14444,Krishna Palace,old,12,904.1676,696.209052,657.5764364
5,House,Dayanand Colony,5,5,1,1,0,0,1,0,0,2,1.25,11574,,new,0,1076.39,828.8203,782.8290909
4,House,DLF Phase 3,4,2,2,0,0,0,0,0,0,1,1.44,26667,DLF City Plots Phase 3,very old,8,538.195,414.41015,391.4145455
9,House,Palam Vihar Extension,9,7,3+ ,1,0,0,1,0,0,3,1,8230,,old,0,1216.3207,936.566939,884.5968727
9,House,Sector 23A Gurgaon,9,9,3+ ,1,1,0,0,0,1,3,5.5,13095,,old,0,4197.921,3232.39917,3053.033455
4,House,Saraswati Vihar,4,3,3,1,1,0,1,0,0,2,5.5,30556,Housing Board Colony,very old,22,1797.5713,1384.129901,1307.324582
6,House,Sector 47 Gurgaon,6,4,2,0,1,0,0,0,0,2,4.3,29311,,old,0,1463.8904,1127.195608,1064.647564
4,House,DLF Phase 3,4,4,3,0,0,0,0,0,0,3,3.25,30384,,very old,15,1065.6261,820.532097,775.0008
3,House,Mianwali Colony,3,3,1,1,0,0,1,0,0,4,3.71,19818,,old,0,1872.9186,1442.147322,1362.122618
10,House,DLF Phase 4,10,10,3+ ,0,0,0,0,0,0,1,13,1992,DLF City Plot Phase 4,unknown,0,89719.79748,69084.24406,65250.7618
5,House,New Colony,5,3,2,0,0,0,0,0,0,3,1.3,13499,Rattan Garden,very old,0,1244.139091,957.9871,904.8284298
2,House,Sohna,2,3,2,1,0,1,1,0,0,1,1.55,14720,,new,49,1054.8622,812.243894,767.1725091
5,House,Sector 11 Gurgaon,5,4,1,1,0,0,0,0,0,2,4,19753,,unknown,0,2628.069091,2023.6132,1911.322975
5,House,Nirvana Country,5,6,3+ ,0,0,0,0,0,0,3,12,37037,Unitech Escape,unknown,0,4454.909112,3430.280017,3239.9339
2,House,Sector 31 Gurgaon,2,1,0,1,0,0,0,0,0,1,8,63492,Project Housing Board Colony,unknown,0,1635.553636,1259.3763,1189.493554
7,House,Sector 11 Gurgaon,7,3,0,0,0,0,0,0,0,3,1.2,4444,,unknown,0,3508.751818,2701.7389,2551.819504
1,House,Ashok Vihar Phase 3 Extension,1,1,0,0,0,0,0,0,0,1,1,6667,,unknown,0,1943.093636,1496.1821,1413.159008
2,House,New Jyoti Park,2,2,3,0,0,0,0,0,0,4,1.15,12777,,unknown,0,1243.23045,957.2874465,904.1676
6,House,Shivaji Nagar,6,4,2,1,0,0,0,0,0,1,3.08,11407,Shivaji Nagar Residential,unknown,0,3508.751818,2701.7389,2551.819504
2,House,Sector 56 Gurgaon,2,2,0,0,0,0,0,0,0,1,2.95,20233,,unknown,0,1887.177273,1453.1265,1372.492562
6,House,Sector 33 Gurgaon,6,5,3+ ,0,0,0,0,0,0,4,8,17778,Unitech Uniworld Resorts,unknown,0,5843.26,4499.3102,4249.643636
4,House,Sector 82 Gurgaon,4,3,0,0,0,0,0,0,0,2,6.5,20062,Vatika India Next,unknown,0,4207.706364,3239.9339,3060.150083
7,House,Sector 7 Gurgaon,7,7,0,1,0,0,0,0,0,3,3,11494,,unknown,0,3382.94,2604.8638,2460.32
6,House,Sector 52 Gurgaon,6,5,3+ ,0,0,0,0,0,0,4,8,25543,Raj Villas,unknown,0,4306.905488,3316.317225,3132.2949
6,House,Sector 12A Gurgaon,6,6,2,0,0,0,0,0,0,2,2.75,12343,,unknown,0,2893.671818,2228.1273,2104.488595
5,House,Sector 7 Gurgaon,5,3,0,0,0,0,0,0,0,2,2.25,16892,,unknown,0,1733.407273,1334.7236,1260.659835
3,House,Gandhi Nagar,3,2,1,0,0,0,0,0,0,1,1.45,8000,,moderate,0,2334.508182,1797.5713,1697.824132
3,House,Lajpat Nagar,3,3,1,1,0,0,0,0,0,2,3.5,17500,,unknown,0,2195.8356,1690.793412,1596.971345
5,House,Sector 108 Gurgaon,5,4,3+ ,0,0,0,0,0,0,1,10.5,14323,Sobha City,unknown,59,9519.760909,7330.2159,6923.462479
5,House,Sector 33 Gurgaon,5,6,3,0,0,1,0,0,1,4,10,181818,Unitech Uniworld Resorts,new,26,548.9589,422.698353,399.2428364
7,House,Malibu Town,7,6,3+ ,1,0,0,0,0,0,4,4.6,26620,,old,51,1732.9879,1334.400683,1260.354836
10,House,Sector 39 Gurgaon,10,11,3+ ,1,0,0,1,0,0,4,7,10000,,moderate,38,355.2087,273.510699,258.3336
1,House,Sector 39 Gurgaon,1,1,2,0,0,0,0,0,0,2,1.6,17937,,very old,40,893.4037,687.920849,649.7481455
4,House,G block DLF City Phase 1,4,3,3+ ,1,0,0,0,0,0,3,5.6,30556,,old,33,1797.5713,1384.129901,1307.324582
6,House,Palam Vihar,6,4,0,0,0,0,0,0,0,3,5,12500,Ansals Palam Vihar,unknown,0,5200.221818,4004.1708,3781.979504
1,House,Sector 39 Gurgaon,1,1,2,0,0,0,0,0,0,3,1.8,21875,,moderate,0,904.1676,696.209052,657.5764364
9,House,"Gurgaon, Delhi NCR",9,3,3+ ,0,0,0,0,0,0,3,1.5,16667,,unknown,0,1243.23045,957.2874465,904.1676
3,House,Park View,3,3,3,0,0,0,0,0,0,3,1.05,7075,Ansal Esencia Sovereign Floors,unknown,0,1929.114545,1485.4182,1402.992397
8,House,Shakti Nagar,8,5,2,0,0,0,0,0,0,1,1.8,8078,,unknown,0,3063.675038,2359.029779,2228.1273
6,House,Sector 48 Gurgaon,6,5,3+ ,0,0,0,0,0,0,3,3.35,5583,Vipul World,unknown,0,7786.353636,5995.4923,5662.802645
5,House,Jyoti Park,5,4,2,0,0,0,0,0,0,3,1.2,11194,,unknown,0,1397.909091,1076.39,1016.661157
10,House,Rajiv Nagar,10,5,3+ ,1,0,0,0,0,0,4,9,100000,,very old,0,904.1676,696.209052,657.5764364
5,House,Sector 72 Gurgaon,5,5,3+ ,1,0,0,0,0,1,14,3.09,6981,Spaze Privy,moderate,33,4738.911818,3648.9621,3446.481322
4,House,Sector 103 Gurgaon,4,5,0,0,0,0,0,0,0,12,3.15,6702,Satya The Hermitage,unknown,0,6108.862727,4703.8243,4442.809256
3,House,Sector 12A Gurgaon,3,3,0,0,0,0,0,0,0,1,1.7,9444,,unknown,0,2334.508182,1797.5713,1697.824132
6,House,Sector 1 Gurgaon,6,7,0,1,0,0,0,0,0,4,4.75,10556,,unknown,0,5843.26,4499.3102,4249.643636
2,House,Sector 9 Gurgaon,2,3,0,0,0,0,0,0,0,3,1.65,18333,,unknown,0,1174.243636,904.1676,853.9953719
4,House,Sohna Gurgaon Road,4,3,0,0,0,0,0,0,0,1,2,7479,,unknown,0,3466.814545,2669.4472,2521.319669
4,House,Sector 1 Gurgaon,4,3,2,0,0,0,0,0,0,3,1.85,16003,,unknown,0,1583.638788,1219.401866,1151.7373
6,House,DLF Phase 2,6,8,3+ ,1,0,1,1,1,1,0,13,45710,,moderate,0,2841.6696,2188.085592,2066.6688
2,House,Subhash Nagar,2,2,1,0,0,0,0,0,0,2,1.4,8702,,very old,0,1496.1821,1152.060217,1088.132436
5,House,ravi nager basai road,5,5,3+ ,0,0,0,0,0,0,3,1.8,5950,,old,0,3024.6559,2328.985043,2199.749745
10,House,Shivpuri,10,5,3,1,0,1,1,0,1,2,2.4,8889,shivpuri,very old,8,2701.7389,2080.338953,1964.901018
1,House,C Block Sushant Lok Phase 1,1,1,0,0,0,0,0,0,0,1,3.35,26973,,very old,9,1237.8485,953.143345,900.2534545
3,House,Nirvana Country,3,2,0,0,0,0,0,0,0,1,7,32407,,unknown,0,2809.797273,2163.5439,2043.488926
1,House,Sector 41 Gurgaon,1,1,0,0,0,0,0,0,0,1,1.65,13750,,unknown,0,1551.679091,1194.7929,1128.493884
4,House,Shivpuri,4,4,2,0,0,1,1,1,0,3,2.43,14890,,very old,38,1636.1128,1259.806856,1189.900218
1,House,Sector 3 Gurgaon,1,1,0,0,0,0,0,0,0,1,3.5,9210,,unknown,0,4934.619091,3799.6567,3588.813884
3,House,Sohna Road,3,3,0,0,0,0,0,0,0,1,6.25,6944,,old,0,8998.6204,6928.937708,6544.4512
4,House,Jacobpura,4,4,2,1,0,0,1,0,0,2,1.2,14184,,moderate,7,850.3481,654.768037,618.4349818
10,House,Rajiv Chowk,10,10,3,0,0,0,0,0,0,3,2,10582,Hans Enclave,old,0,2460.32,1894.4464,1789.323636
10,House,Sector 11 Gurgaon,10,1,0,0,0,0,0,0,0,1,3.5,15555,,new,0,2921.63,2249.6551,2124.821818
5,House,DLF Phase 1,5,5,3+ ,0,0,0,0,0,0,2,4.5,33333,,very old,7,1345.4875,1036.025375,978.5363636
1,House,Sector 37D Gurgaon,1,1,0,0,0,0,0,0,0,1,1.16,7539,,unknown,0,1999.01,1539.2377,1453.825455
5,House,Sohna Road,5,5,3+ ,0,0,0,0,0,0,4,1.35,10000,sneh vihar,moderate,0,1345.4875,1036.025375,978.5363636
8,House,DLF Phase 3,8,11,3+ ,1,1,1,1,0,1,3,11,28898,,very old,39,3810.4206,2934.023862,2771.214982
9,House,Sector 60 Gurgaon,9,12,3+ ,1,0,0,0,0,1,3,18.02,28200,Adani Brahma Samsara,moderate,146,8303.58,6393.7566,6038.967273
1,House,Sector 14 Gurgaon,1,1,0,0,0,0,0,0,0,1,4.6,20444,,unknown,0,2921.63,2249.6551,2124.821818
3,House,Sushant Lok Phase 1,3,3,3+ ,1,0,0,0,0,0,3,1.9,35185,,very old,0,538.195,414.41015,391.4145455
3,House,Sector 63 Gurgaon,3,3,2,0,0,0,0,0,0,1,1.5,6289,Signature Global City 63A,new,0,3103.358182,2389.5858,2256.987769
5,House,Shivaji Nagar,5,4,3,0,0,0,0,1,0,1,2.5,17857,,very old,0,1399.307,1077.46639,1017.677818
9,House,Sector 54 Gurgaon,9,9,3,1,0,0,0,0,1,11,2,30968,Suncity Township,moderate,7,645.834,497.29218,635.0701
3,House,Golf Course Road,3,2,2,0,0,0,0,0,0,41,1.6,160000,,moderate,0,96.8751,74.593827,70.45461818
1,House,Sector 108 Gurgaon,1,1,0,0,0,0,0,0,0,1,1.34,5000,,unknown,0,3480.793636,2680.2111,2531.486281
5,House,Jacobpura,5,5,3,1,1,0,1,0,0,3,1.7,8000,,old,9,2600.110909,2002.0854,1890.989752
2,House,Rajendra Park,2,2,2,0,0,0,0,0,0,3,9.9,49500,,unknown,0,2600.110909,2002.0854,1890.989752
